"year","county_id","county_name","income_group","mean_hh_income","absolute_change","change_rate","change_rate_gap_from_5th_quintile"
2023,"34007",Camden,"2nd Quintile",48593,-4595,-0.086,0.145
2023,"34007",Camden,"1st Quintile",16834,-2996,-0.151,0.210
2022,"34007",Camden,Top 5 Percent,477423,52215,0.123,-0.030
2022,"34007",Camden,All,85141,-1335,-0.015,0.108
2022,"34007",Camden,"5th Quintile",282536,24154,0.093,0.000
2022,"34007",Camden,"4th Quintile",134251,4577,0.035,0.058
2022,"34007",Camden,"3rd Quintile",85549,-1447,-0.017,0.110
2022,"34007",Camden,"2nd Quintile",49866,-3322,-0.062,0.155
2022,"34007",Camden,"1st Quintile",15645,-4185,-0.211,0.304
2021,"34007",Camden,Top 5 Percent,512361,87153,0.205,-0.080
2021,"34007",Camden,All,88180,1704,0.020,0.105
2021,"34007",Camden,"5th Quintile",290781,32399,0.125,0.000
2021,"34007",Camden,"4th Quintile",136765,7091,0.055,0.070
2021,"34007",Camden,"3rd Quintile",89153,2157,0.025,0.100
2021,"34007",Camden,"2nd Quintile",51568,-1620,-0.030,0.155
2021,"34007",Camden,"1st Quintile",16924,-2906,-0.147,0.272
2019,"34007",Camden,Top 5 Percent,549900,124692,0.293,-0.110
2019,"34007",Camden,All,88081,1605,0.019,0.164
2019,"34007",Camden,"5th Quintile",305565,47183,0.183,0.000
2019,"34007",Camden,"4th Quintile",138804,9130,0.070,0.113
2019,"34007",Camden,"3rd Quintile",88692,1696,0.019,0.164
2019,"34007",Camden,"2nd Quintile",51408,-1780,-0.033,0.216
2019,"34007",Camden,"1st Quintile",18130,-1700,-0.086,0.269
2018,"34007",Camden,Top 5 Percent,492021,66813,0.157,-0.083
2018,"34007",Camden,All,82195,-4281,-0.050,0.124
2018,"34007",Camden,"5th Quintile",277601,19219,0.074,0.000
2018,"34007",Camden,"4th Quintile",132295,2621,0.020,0.054
2018,"34007",Camden,"3rd Quintile",82672,-4324,-0.050,0.124
2018,"34007",Camden,"2nd Quintile",45351,-7837,-0.147,0.221
2018,"34007",Camden,"1st Quintile",16408,-3422,-0.173,0.247
2011,"42029",Chester,Top 5 Percent,546429,-64288,-0.105,0.014
2011,"42029",Chester,All,107778,-10085,-0.086,-0.005
2011,"42029",Chester,"5th Quintile",337106,-33589,-0.091,0.000
2011,"42029",Chester,"4th Quintile",164892,-14488,-0.081,-0.010
2011,"42029",Chester,"3rd Quintile",107000,-11205,-0.095,0.004
2011,"42029",Chester,"2nd Quintile",66156,-7722,-0.105,0.014
2011,"42029",Chester,"1st Quintile",26623,-1005,-0.036,-0.055
2010,"42029",Chester,Top 5 Percent,632652,21935,0.036,-0.058
2010,"42029",Chester,All,118414,551,0.005,-0.027
2010,"42029",Chester,"5th Quintile",362670,-8025,-0.022,0.000
2010,"42029",Chester,"4th Quintile",173217,-6163,-0.034,0.012
2010,"42029",Chester,"3rd Quintile",118491,286,0.002,-0.024
2010,"42029",Chester,"2nd Quintile",72864,-1014,-0.014,-0.008
2010,"42029",Chester,"1st Quintile",29539,1911,0.069,-0.091
2009,"42029",Chester,Top 5 Percent,708499,97782,0.160,-0.096
2009,"42029",Chester,All,116351,-1512,-0.013,0.077
2009,"42029",Chester,"5th Quintile",394330,23635,0.064,0.000
2009,"42029",Chester,"4th Quintile",177903,-1477,-0.008,0.072
2009,"42029",Chester,"3rd Quintile",116855,-1350,-0.011,0.075
2009,"42029",Chester,"2nd Quintile",70302,-3576,-0.048,0.112
2009,"42029",Chester,"1st Quintile",28311,683,0.025,0.039
2008,"42029",Chester,Top 5 Percent,676709,65992,0.108,-0.061
2008,"42029",Chester,All,121973,4110,0.035,0.012
2008,"42029",Chester,"5th Quintile",388186,17491,0.047,0.000
2008,"42029",Chester,"4th Quintile",179249,-131,-0.001,0.048
2008,"42029",Chester,"3rd Quintile",122197,3992,0.034,0.013
2008,"42029",Chester,"2nd Quintile",77560,3682,0.050,-0.003
2008,"42029",Chester,"1st Quintile",32027,4399,0.159,-0.112
2007,"42029",Chester,Top 5 Percent,736604,125887,0.206,-0.124
2007,"42029",Chester,All,122846,4983,0.042,0.040
2007,"42029",Chester,"5th Quintile",401044,30349,0.082,0.000
2007,"42029",Chester,"4th Quintile",179469,89,0.000,0.082
2007,"42029",Chester,"3rd Quintile",122936,4731,0.040,0.042
2007,"42029",Chester,"2nd Quintile",77733,3855,0.052,0.030
